type,item,dist,roundedFreq,frequency,val
predictive,S1,common_deterministic,0.725,70,0.5489628184263892
prior,mixture,common_weak,NA,NA,0.9843080421513187
prior,stableFreq,common_weak,mean,NA,0.19857654459815194
prior,stableFreq,common_weak,sampleSize,NA,14.705821950919926
predictive,S1,common_weak,0.225,20,0.5630875634400515
predictive,S1,common_weak,0.725,70,0.9143095372179587
param,speakerOptimality,S1,NA,NA,1.7827961427122696
prior,mixture,rare_weak,NA,NA,0.9589790240057852
prior,stableFreq,rare_weak,mean,NA,0.2530793569050728
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.46154670824153227
predictive,S1,rare_weak,0.725,70,0.8764905012538289
prior,mixture,rare_deterministic,NA,NA,0.5177561345044521
prior,stableFreq,rare_deterministic,mean,NA,0.5725292882177468
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.3678390250328698
predictive,S1,rare_deterministic,0.725,70,0.8281008016793244
prior,mixture,common_deterministic,NA,NA,0.6582740504957595
prior,stableFreq,common_deterministic,mean,NA,0.9407740973567806
prior,stableFreq,common_deterministic,sampleSize,NA,45.32428728023783
predictive,S1,common_deterministic,0.225,20,0.13683649064613776
predictive,S1,common_deterministic,0.725,70,0.5675612248148422
prior,mixture,common_weak,NA,NA,0.9843080421513187
prior,stableFreq,common_weak,mean,NA,0.19857654459815194
prior,stableFreq,common_weak,sampleSize,NA,14.705821950919926
predictive,S1,common_weak,0.225,20,0.5630875634400515
predictive,S1,common_weak,0.725,70,0.9143095372179587
param,speakerOptimality,S1,NA,NA,1.7827961427122696
prior,mixture,rare_weak,NA,NA,0.9589790240057852
prior,stableFreq,rare_weak,mean,NA,0.2530793569050728
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.46154670824153227
predictive,S1,rare_weak,0.725,70,0.8764905012538289
prior,mixture,rare_deterministic,NA,NA,0.5177561345044521
prior,stableFreq,rare_deterministic,mean,NA,0.5725292882177468
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.3678390250328698
predictive,S1,rare_deterministic,0.725,70,0.8281008016793244
prior,mixture,common_deterministic,NA,NA,0.6582740504957595
prior,stableFreq,common_deterministic,mean,NA,0.8713345484940799
prior,stableFreq,common_deterministic,sampleSize,NA,44.17587153453619
predictive,S1,common_deterministic,0.225,20,0.1534454286065799
predictive,S1,common_deterministic,0.725,70,0.6001033186706486
prior,mixture,common_weak,NA,NA,0.9843080421513187
prior,stableFreq,common_weak,mean,NA,0.19857654459815194
prior,stableFreq,common_weak,sampleSize,NA,14.705821950919926
predictive,S1,common_weak,0.225,20,0.5630875634400515
predictive,S1,common_weak,0.725,70,0.9143095372179587
param,speakerOptimality,S1,NA,NA,1.7827961427122696
prior,mixture,rare_weak,NA,NA,0.8449817632066723
prior,stableFreq,rare_weak,mean,NA,0.2608196355402469
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.5021176964964894
predictive,S1,rare_weak,0.725,70,0.8930418812018696
prior,mixture,rare_deterministic,NA,NA,0.5177561345044521
prior,stableFreq,rare_deterministic,mean,NA,0.5725292882177468
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.3678390250328698
predictive,S1,rare_deterministic,0.725,70,0.8281008016793244
prior,mixture,common_deterministic,NA,NA,0.6582740504957595
prior,stableFreq,common_deterministic,mean,NA,0.8713345484940799
prior,stableFreq,common_deterministic,sampleSize,NA,44.17587153453619
predictive,S1,common_deterministic,0.225,20,0.1534454286065799
predictive,S1,common_deterministic,0.725,70,0.6001033186706486
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19857654459815194
prior,stableFreq,common_weak,sampleSize,NA,14.705821950919926
predictive,S1,common_weak,0.225,20,0.5596169039934359
predictive,S1,common_weak,0.725,70,0.9131987661118446
param,speakerOptimality,S1,NA,NA,1.7827961427122696
prior,mixture,rare_weak,NA,NA,0.8449817632066723
prior,stableFreq,rare_weak,mean,NA,0.2608196355402469
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.5021176964964894
predictive,S1,rare_weak,0.725,70,0.8930418812018696
prior,mixture,rare_deterministic,NA,NA,0.5177561345044521
prior,stableFreq,rare_deterministic,mean,NA,0.5725292882177468
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.3678390250328698
predictive,S1,rare_deterministic,0.725,70,0.8281008016793244
prior,mixture,common_deterministic,NA,NA,0.6582740504957595
prior,stableFreq,common_deterministic,mean,NA,0.8892343290998757
prior,stableFreq,common_deterministic,sampleSize,NA,42.0643631818542
predictive,S1,common_deterministic,0.225,20,0.1488445089672238
predictive,S1,common_deterministic,0.725,70,0.5914668719970037
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19857654459815194
prior,stableFreq,common_weak,sampleSize,NA,17.123683891259134
predictive,S1,common_weak,0.225,20,0.559703175296733
predictive,S1,common_weak,0.725,70,0.9132265109603128
param,speakerOptimality,S1,NA,NA,1.7827961427122696
prior,mixture,rare_weak,NA,NA,0.8449817632066723
prior,stableFreq,rare_weak,mean,NA,0.2097663129679858
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.5976873328967617
predictive,S1,rare_weak,0.725,70,0.9248095429759963
prior,mixture,rare_deterministic,NA,NA,0.5177561345044521
prior,stableFreq,rare_deterministic,mean,NA,0.5725292882177468
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.3678390250328698
predictive,S1,rare_deterministic,0.725,70,0.8281008016793244
prior,mixture,common_deterministic,NA,NA,0.6582740504957595
prior,stableFreq,common_deterministic,mean,NA,0.8499965024026364
prior,stableFreq,common_deterministic,sampleSize,NA,42.0643631818542
predictive,S1,common_deterministic,0.225,20,0.15924823917736655
predictive,S1,common_deterministic,0.725,70,0.6106138149089052
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19857654459815194
prior,stableFreq,common_weak,sampleSize,NA,17.123683891259134
predictive,S1,common_weak,0.225,20,0.559703175296733
predictive,S1,common_weak,0.725,70,0.9132265109603128
param,speakerOptimality,S1,NA,NA,1.7827961427122696
prior,mixture,rare_weak,NA,NA,0.8449817632066723
prior,stableFreq,rare_weak,mean,NA,0.2097663129679858
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6266914075042346
predictive,S1,rare_weak,0.725,70,0.9638884684562867
prior,mixture,rare_deterministic,NA,NA,0.5177561345044521
prior,stableFreq,rare_deterministic,mean,NA,0.5578389504219826
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.3432445485499099
predictive,S1,rare_deterministic,0.725,70,0.8925873033181472
prior,mixture,common_deterministic,NA,NA,0.6582740504957595
prior,stableFreq,common_deterministic,mean,NA,0.8499965024026364
prior,stableFreq,common_deterministic,sampleSize,NA,42.0643631818542
predictive,S1,common_deterministic,0.225,20,0.10178726719895415
predictive,S1,common_deterministic,0.725,70,0.6430880604007172
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19857654459815194
prior,stableFreq,common_weak,sampleSize,NA,17.123683891259134
predictive,S1,common_weak,0.225,20,0.5778714888030401
predictive,S1,common_weak,0.725,70,0.9560751462446295
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.8065442634710782
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6812842769303705
predictive,S1,rare_weak,0.725,70,0.9714184135333868
prior,mixture,rare_deterministic,NA,NA,0.5177561345044521
prior,stableFreq,rare_deterministic,mean,NA,0.5578389504219826
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.3432445485499099
predictive,S1,rare_deterministic,0.725,70,0.8925873033181472
prior,mixture,common_deterministic,NA,NA,0.6696769487775722
prior,stableFreq,common_deterministic,mean,NA,0.8499965024026364
prior,stableFreq,common_deterministic,sampleSize,NA,42.0643631818542
predictive,S1,common_deterministic,0.225,20,0.0982409885833527
predictive,S1,common_deterministic,0.725,70,0.6339942206404935
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19857654459815194
prior,stableFreq,common_weak,sampleSize,NA,17.123683891259134
predictive,S1,common_weak,0.225,20,0.5778714888030401
predictive,S1,common_weak,0.725,70,0.9560751462446295
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.8065442634710782
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6812842769303705
predictive,S1,rare_weak,0.725,70,0.9714184135333868
prior,mixture,rare_deterministic,NA,NA,0.5580468737985936
prior,stableFreq,rare_deterministic,mean,NA,0.5578389504219826
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.30613547138729047
predictive,S1,rare_deterministic,0.725,70,0.8752355492547812
prior,mixture,common_deterministic,NA,NA,0.6696769487775722
prior,stableFreq,common_deterministic,mean,NA,0.8499965024026364
prior,stableFreq,common_deterministic,sampleSize,NA,42.0643631818542
predictive,S1,common_deterministic,0.225,20,0.0982409885833527
predictive,S1,common_deterministic,0.725,70,0.6339942206404935
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19857654459815194
prior,stableFreq,common_weak,sampleSize,NA,17.123683891259134
predictive,S1,common_weak,0.225,20,0.5778714888030401
predictive,S1,common_weak,0.725,70,0.9560751462446295
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.8065442634710782
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6812842769303705
predictive,S1,rare_weak,0.725,70,0.9714184135333868
prior,mixture,rare_deterministic,NA,NA,0.5580468737985936
prior,stableFreq,rare_deterministic,mean,NA,0.5578389504219826
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.30613547138729047
predictive,S1,rare_deterministic,0.725,70,0.8752355492547812
prior,mixture,common_deterministic,NA,NA,0.6696769487775722
prior,stableFreq,common_deterministic,mean,NA,0.899994244607382
prior,stableFreq,common_deterministic,sampleSize,NA,42.0643631818542
predictive,S1,common_deterministic,0.225,20,0.08713237427006594
predictive,S1,common_deterministic,0.725,70,0.602801577786439
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19857654459815194
prior,stableFreq,common_weak,sampleSize,NA,18.57969243777916
predictive,S1,common_weak,0.225,20,0.5779207338348344
predictive,S1,common_weak,0.725,70,0.9560836235077671
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.8065442634710782
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6812842769303705
predictive,S1,rare_weak,0.725,70,0.9714184135333868
prior,mixture,rare_deterministic,NA,NA,0.5580468737985936
prior,stableFreq,rare_deterministic,mean,NA,0.5578389504219826
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.30613547138729047
predictive,S1,rare_deterministic,0.725,70,0.8752355492547812
prior,mixture,common_deterministic,NA,NA,0.6696769487775722
prior,stableFreq,common_deterministic,mean,NA,0.899994244607382
prior,stableFreq,common_deterministic,sampleSize,NA,42.0643631818542
predictive,S1,common_deterministic,0.225,20,0.08713237427006594
predictive,S1,common_deterministic,0.725,70,0.602801577786439
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,18.57969243777916
predictive,S1,common_weak,0.225,20,0.5769874679547272
predictive,S1,common_weak,0.725,70,0.9559227463871466
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.8065442634710782
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6812842769303705
predictive,S1,rare_weak,0.725,70,0.9714184135333868
prior,mixture,rare_deterministic,NA,NA,0.5580468737985936
prior,stableFreq,rare_deterministic,mean,NA,0.5578389504219826
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.30613547138729047
predictive,S1,rare_deterministic,0.725,70,0.8752355492547812
prior,mixture,common_deterministic,NA,NA,0.7930294882237771
prior,stableFreq,common_deterministic,mean,NA,0.899994244607382
prior,stableFreq,common_deterministic,sampleSize,NA,42.0643631818542
predictive,S1,common_deterministic,0.225,20,0.06077118287370832
predictive,S1,common_deterministic,0.725,70,0.5070922942791943
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,19.607021720148623
predictive,S1,common_weak,0.225,20,0.5770163850545483
predictive,S1,common_weak,0.725,70,0.9559277381385048
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.8065442634710782
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6812842769303705
predictive,S1,rare_weak,0.725,70,0.9714184135333868
prior,mixture,rare_deterministic,NA,NA,0.5580468737985936
prior,stableFreq,rare_deterministic,mean,NA,0.5543304324376818
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.30923464310176013
predictive,S1,rare_deterministic,0.725,70,0.8768156397432193
prior,mixture,common_deterministic,NA,NA,0.7930294882237771
prior,stableFreq,common_deterministic,mean,NA,0.899994244607382
prior,stableFreq,common_deterministic,sampleSize,NA,43.64882245732711
predictive,S1,common_deterministic,0.225,20,0.06076968247422738
predictive,S1,common_deterministic,0.725,70,0.5070857238230528
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,19.607021720148623
predictive,S1,common_weak,0.225,20,0.5770163850545483
predictive,S1,common_weak,0.725,70,0.9559277381385048
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.8065442634710782
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6812842769303705
predictive,S1,rare_weak,0.725,70,0.9714184135333868
prior,mixture,rare_deterministic,NA,NA,0.5580468737985936
prior,stableFreq,rare_deterministic,mean,NA,0.5467079982388254
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.3160953807840921
predictive,S1,rare_deterministic,0.725,70,0.880222624699906
prior,mixture,common_deterministic,NA,NA,0.7930294882237771
prior,stableFreq,common_deterministic,mean,NA,0.899994244607382
prior,stableFreq,common_deterministic,sampleSize,NA,39.22250024115906
predictive,S1,common_deterministic,0.225,20,0.06077430669098424
predictive,S1,common_deterministic,0.725,70,0.5071059734109966
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,19.607021720148623
predictive,S1,common_weak,0.225,20,0.5770163850545483
predictive,S1,common_weak,0.725,70,0.9559277381385048
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.838415766509932
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6625145299887696
predictive,S1,rare_weak,0.725,70,0.9689566281417267
prior,mixture,rare_deterministic,NA,NA,0.4322246170137075
prior,stableFreq,rare_deterministic,mean,NA,0.6641345154720779
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.34483884404306947
predictive,S1,rare_deterministic,0.725,70,0.8932627386734402
prior,mixture,common_deterministic,NA,NA,0.7930294882237771
prior,stableFreq,common_deterministic,mean,NA,0.8385245460076314
prior,stableFreq,common_deterministic,sampleSize,NA,39.22250024115906
predictive,S1,common_deterministic,0.225,20,0.07085518098989589
predictive,S1,common_deterministic,0.725,70,0.5480234986602505
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,19.607021720148623
predictive,S1,common_weak,0.225,20,0.5770163850545483
predictive,S1,common_weak,0.725,70,0.9559277381385048
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.838415766509932
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6625145299887696
predictive,S1,rare_weak,0.725,70,0.9689566281417267
prior,mixture,rare_deterministic,NA,NA,0.4322246170137075
prior,stableFreq,rare_deterministic,mean,NA,0.6641345154720779
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.34483884404306947
predictive,S1,rare_deterministic,0.725,70,0.8932627386734402
prior,mixture,common_deterministic,NA,NA,0.7930294882237771
prior,stableFreq,common_deterministic,mean,NA,0.7092625414309595
prior,stableFreq,common_deterministic,sampleSize,NA,39.22250024115906
predictive,S1,common_deterministic,0.225,20,0.10139502561592166
predictive,S1,common_deterministic,0.725,70,0.642101048856455
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,19.607021720148623
predictive,S1,common_weak,0.225,20,0.5770163850545483
predictive,S1,common_weak,0.725,70,0.9559277381385048
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.838415766509932
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6625145299887696
predictive,S1,rare_weak,0.725,70,0.9689566281417267
prior,mixture,rare_deterministic,NA,NA,0.4322246170137075
prior,stableFreq,rare_deterministic,mean,NA,0.6641345154720779
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.34483884404306947
predictive,S1,rare_deterministic,0.725,70,0.8932627386734402
prior,mixture,common_deterministic,NA,NA,0.7632581205770232
prior,stableFreq,common_deterministic,mean,NA,0.7092625414309595
prior,stableFreq,common_deterministic,sampleSize,NA,39.22250024115906
predictive,S1,common_deterministic,0.225,20,0.10967452451452511
predictive,S1,common_deterministic,0.725,70,0.6620055609914991
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,19.246866814792156
predictive,S1,common_weak,0.225,20,0.5770067021408442
predictive,S1,common_weak,0.725,70,0.9559260666965353
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.9233772377489693
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6133969242918079
predictive,S1,rare_weak,0.725,70,0.9618718441386456
prior,mixture,rare_deterministic,NA,NA,0.47825821307487765
prior,stableFreq,rare_deterministic,mean,NA,0.6641345154720779
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.29512446333148995
predictive,S1,rare_deterministic,0.725,70,0.8694029898317046
prior,mixture,common_deterministic,NA,NA,0.7632581205770232
prior,stableFreq,common_deterministic,mean,NA,0.7092625414309595
prior,stableFreq,common_deterministic,sampleSize,NA,43.96985792860628
predictive,S1,common_deterministic,0.225,20,0.10967452290532005
predictive,S1,common_deterministic,0.725,70,0.6620055573040329
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,15.177898418623954
predictive,S1,common_weak,0.225,20,0.5768529888311577
predictive,S1,common_weak,0.725,70,0.9558995263311961
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.9644906303599937
prior,stableFreq,rare_weak,mean,NA,0.1975637506693601
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.5902910974363434
predictive,S1,rare_weak,0.725,70,0.9581728839848587
prior,mixture,rare_deterministic,NA,NA,0.47825821307487765
prior,stableFreq,rare_deterministic,mean,NA,0.6641345154720779
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.29512446333148995
predictive,S1,rare_deterministic,0.725,70,0.8694029898317046
prior,mixture,common_deterministic,NA,NA,0.7632581205770232
prior,stableFreq,common_deterministic,mean,NA,0.7092625414309595
prior,stableFreq,common_deterministic,sampleSize,NA,42.39254137574003
predictive,S1,common_deterministic,0.225,20,0.10967452305562453
predictive,S1,common_deterministic,0.725,70,0.662005557648455
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,15.177898418623954
predictive,S1,common_weak,0.225,20,0.5768529888311577
predictive,S1,common_weak,0.725,70,0.9558995263311961
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.9644906303599937
prior,stableFreq,rare_weak,mean,NA,0.18727447813706405
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6201824544694982
predictive,S1,rare_weak,0.725,70,0.9629108808695962
prior,mixture,rare_deterministic,NA,NA,0.47825821307487765
prior,stableFreq,rare_deterministic,mean,NA,0.6641345154720779
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.29512446333148995
predictive,S1,rare_deterministic,0.725,70,0.8694029898317046
prior,mixture,common_deterministic,NA,NA,0.8640787202596524
prior,stableFreq,common_deterministic,mean,NA,0.7092625414309595
prior,stableFreq,common_deterministic,sampleSize,NA,42.39254137574003
predictive,S1,common_deterministic,0.225,20,0.08480434469336197
predictive,S1,common_deterministic,0.725,70,0.5956863671512802
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,15.177898418623954
predictive,S1,common_weak,0.225,20,0.5768529888311577
predictive,S1,common_weak,0.725,70,0.9558995263311961
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.9644906303599937
prior,stableFreq,rare_weak,mean,NA,0.18727447813706405
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6201824544694982
predictive,S1,rare_weak,0.725,70,0.9629108808695962
prior,mixture,rare_deterministic,NA,NA,0.4197846040595321
prior,stableFreq,rare_deterministic,mean,NA,0.6641345154720779
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.359873595412255
predictive,S1,rare_deterministic,0.725,70,0.8993842613987376
prior,mixture,common_deterministic,NA,NA,0.8640787202596524
prior,stableFreq,common_deterministic,mean,NA,0.6139226469499562
prior,stableFreq,common_deterministic,sampleSize,NA,42.39254137574003
predictive,S1,common_deterministic,0.225,20,0.11504957215081292
predictive,S1,common_deterministic,0.725,70,0.6739589627743414
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,15.177898418623954
predictive,S1,common_weak,0.225,20,0.5768529888311577
predictive,S1,common_weak,0.725,70,0.9558995263311961
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.9644906303599937
prior,stableFreq,rare_weak,mean,NA,0.18727447813706405
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6201824544694982
predictive,S1,rare_weak,0.725,70,0.9629108808695962
prior,mixture,rare_deterministic,NA,NA,0.5022620920557527
prior,stableFreq,rare_deterministic,mean,NA,0.6641345154720779
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.27257537716005975
predictive,S1,rare_deterministic,0.725,70,0.8562786271007898
prior,mixture,common_deterministic,NA,NA,0.8640787202596524
prior,stableFreq,common_deterministic,mean,NA,0.8066315659610127
prior,stableFreq,common_deterministic,sampleSize,NA,42.24202303055913
predictive,S1,common_deterministic,0.225,20,0.064143788623459
predictive,S1,common_deterministic,0.725,70,0.5214817470731012
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,15.177898418623954
predictive,S1,common_weak,0.225,20,0.5768529888311577
predictive,S1,common_weak,0.725,70,0.9558995263311961
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.9644906303599937
prior,stableFreq,rare_weak,mean,NA,0.18727447813706405
prior,stableFreq,rare_weak,sampleSize,NA,1.0487695808381658
predictive,S1,rare_weak,0.225,20,0.6201824544694982
predictive,S1,rare_weak,0.725,70,0.9629108808695962
prior,mixture,rare_deterministic,NA,NA,0.5022620920557527
prior,stableFreq,rare_deterministic,mean,NA,0.5379575939144428
prior,stableFreq,rare_deterministic,sampleSize,NA,0.4787467140772661
predictive,S1,rare_deterministic,0.225,20,0.3782635853017375
predictive,S1,rare_deterministic,0.725,70,0.9063099648019519
prior,mixture,common_deterministic,NA,NA,0.8640787202596524
prior,stableFreq,common_deterministic,mean,NA,0.8066315659610127
prior,stableFreq,common_deterministic,sampleSize,NA,39.60954344671459
predictive,S1,common_deterministic,0.225,20,0.06414407198693772
predictive,S1,common_deterministic,0.725,70,0.5214829249958876
prior,mixture,common_weak,NA,NA,0.9925265530732169
prior,stableFreq,common_weak,mean,NA,0.19889511776344052
prior,stableFreq,common_weak,sampleSize,NA,15.177898418623954
predictive,S1,common_weak,0.225,20,0.5768529888311577
predictive,S1,common_weak,0.725,70,0.9558995263311961
param,speakerOptimality,S1,NA,NA,2.3332146452842877
prior,mixture,rare_weak,NA,NA,0.9644906303599937
prior,stableFreq,rare_weak,mean,NA,0.18727447813706405
