"workerid","category","trial_type","evidenceStatement","characterGender","freqLevel","characterName","habitual","n_instances","time_period","rt","response","n_times","log_times"
27,"hobby","truthJudge","ran","female",NA,"Jessica","runs",3,"year",2038,"disagree-key",15,2.70805020110221
27,"employment","truthJudge","stole a car","female",NA,"Esther","steals cars",3,"month",2273,"agree-key",180,5.19295685089021
27,"employment","truthJudge","sold something on eBay","male",NA,"Ted","sells things on eBay",3,"year",4681,"agree-key",15,2.70805020110221
27,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Robert","volunteers for soup kitchens",3,"5 years",3712,"disagree-key",3,1.09861228866811
27,"employment","truthJudge","volunteered for a political campaign","male",NA,"Lucas","volunteers for political campaigns",3,"5 years",4515,"disagree-key",3,1.09861228866811
27,"food","truthJudge","drank coffee","female",NA,"Kelly","drinks coffee",3,"week",4491,"agree-key",780,6.65929391968364
27,"food","truthJudge","did cocaine","female",NA,"Alicia","does cocaine",3,"month",2645,"agree-key",180,5.19295685089021
27,"food","truthJudge","smoked cigarettes","female",NA,"Shannon","smokes cigarettes",3,"week",3229,"agree-key",780,6.65929391968364
27,"clothing","truthJudge","wore a watch","female",NA,"Elizabeth","wears a watch",3,"6 months",3541,"disagree-key",30,3.40119738166216
27,"employment","truthJudge","sold a company","male",NA,"Vince","sells companies",3,"5 years",3132,"agree-key",3,1.09861228866811
27,"employment","truthJudge","wrote a poem","male",NA,"Brian","writes poems",3,"5 years",3150,"disagree-key",3,1.09861228866811
27,"clothing","truthJudge","wore a suit","male",NA,"Doug","wears a suit",3,"month",1889,"agree-key",180,5.19295685089021
27,"entertainment","truthJudge","listened to live music","female",NA,"Sophia","listens to live music",3,"year",6667,"agree-key",15,2.70805020110221
27,"clothing","truthJudge","wore socks","female",NA,"Jackie","wears socks",3,"month",2252,"disagree-key",180,5.19295685089021
27,"employment","truthJudge","wrote a novel","male",NA,"George","writes novels",3,"year",2812,"agree-key",15,2.70805020110221
27,"clothing","truthJudge","wore socks","male",NA,"Anthony","wears socks",3,"6 months",2737,"disagree-key",30,3.40119738166216
27,"food","truthJudge","ate peanut butter","female",NA,"Veronica","eats peanut butter",3,"year",2097,"disagree-key",15,2.70805020110221
28,"hobby","truthJudge","hiked","male",NA,"Daniel","hikes",3,"week",2931,"agree-key",780,6.65929391968364
28,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Claire","volunteers for soup kitchens",3,"year",1852,"agree-key",15,2.70805020110221
28,"food","truthJudge","drank coffee","male",NA,"Derrick","drinks coffee",3,"2 weeks",868,"agree-key",390,5.96614673912369
28,"clothing","truthJudge","wore a suit","female",NA,"Kelly","wears a suit",3,"month",950,"disagree-key",180,5.19295685089021
28,"clothing","truthJudge","wore socks","male",NA,"Ronald","wears socks",3,"week",823,"agree-key",780,6.65929391968364
28,"entertainment","truthJudge","watched professional football","male",NA,"Martin","watches professional football",3,"2 years",377,"agree-key",7.5,2.01490302054226
28,"entertainment","truthJudge","listened to Pandora","female",NA,"Theresa","listens to Pandora",3,"month",294,"disagree-key",180,5.19295685089021
28,"clothing","truthJudge","wore a watch","male",NA,"Ted","wears a watch",3,"6 months",199,"disagree-key",30,3.40119738166216
28,"food","truthJudge","drank beer","female",NA,"Julia","drinks beer",3,"month",29,"agree-key",180,5.19295685089021
28,"food","truthJudge","did cocaine","female",NA,"Amber","does cocaine",3,"year",177,"agree-key",15,2.70805020110221
28,"employment","truthJudge","sold something on eBay","male",NA,"Eric","sells things on eBay",3,"5 years",82,"agree-key",3,1.09861228866811
28,"employment","truthJudge","stole chewing gum","female",NA,"Kim","steals chewing gum",3,"month",165,"disagree-key",180,5.19295685089021
28,"clothing","truthJudge","wore slacks","female",NA,"Jessica","wears slacks",3,"6 months",6,"agree-key",30,3.40119738166216
28,"clothing","truthJudge","wore a bra","female",NA,"Laura","wears a bra",3,"week",13,"agree-key",780,6.65929391968364
28,"entertainment","truthJudge","watched space launches","male",NA,"Anthony","watches space launches",3,"month",4,"agree-key",180,5.19295685089021
28,"hobby","truthJudge","climbed mountains","female",NA,"Angela","climbs mountains",3,"2 years",227,"agree-key",7.5,2.01490302054226
28,"food","truthJudge","ate caviar","male",NA,"Fred","eats caviar",3,"year",12,"disagree-key",15,2.70805020110221
28,"food","truthJudge","smoked cigarettes","male",NA,"Alexander","smokes cigarettes",3,"month",226,"agree-key",180,5.19295685089021
28,"clothing","truthJudge","wore socks","female",NA,"Kathleen","wears socks",3,"month",179,"disagree-key",180,5.19295685089021
28,"hobby","truthJudge","ran","male",NA,"Robert","runs",3,"2 years",223,"agree-key",7.5,2.01490302054226
28,"employment","truthJudge","stole a car","female",NA,"Crystal","steals cars",3,"5 years",21,"disagree-key",3,1.09861228866811
28,"entertainment","truthJudge","went to the ballet","female",NA,"Elizabeth","goes to the ballet",3,"year",5,"agree-key",15,2.70805020110221
28,"clothing","truthJudge","wore a bra","male",NA,"Lewis","wears a bra",3,"month",38,"disagree-key",180,5.19295685089021
28,"entertainment","truthJudge","went to the movies","female",NA,"Alicia","goes to the movies",3,"year",132,"agree-key",15,2.70805020110221
28,"employment","truthJudge","sold a company","female",NA,"Maya","sells companies",3,"year",149,"agree-key",15,2.70805020110221
28,"employment","truthJudge","wrote a novel","male",NA,"Michael","writes novels",3,"year",155,"disagree-key",15,2.70805020110221
28,"clothing","truthJudge","wore a suit","male",NA,"Kyle","wears a suit",3,"week",121,"disagree-key",780,6.65929391968364
28,"hobby","truthJudge","played tennis","male",NA,"Seth","plays tennis",3,"2 years",199,"disagree-key",7.5,2.01490302054226
28,"food","truthJudge","did cocaine","male",NA,"Vince","does cocaine",3,"week",28,"disagree-key",780,6.65929391968364
28,"employment","truthJudge","wrote a poem","male",NA,"Doug","writes poems",3,"year",270,"agree-key",15,2.70805020110221
28,"food","truthJudge","drank beer","male",NA,"Lee","drinks beer",3,"week",124,"agree-key",780,6.65929391968364
28,"food","truthJudge","smoked marijuana","male",NA,"Tom","smokes marijuana",3,"year",320,"disagree-key",15,2.70805020110221
28,"food","truthJudge","drank coffee","female",NA,"Janet","drinks coffee",3,"2 weeks",117,"disagree-key",390,5.96614673912369
28,"hobby","truthJudge","played the banjo","male",NA,"Scott","plays the banjo",3,"5 years",18,"agree-key",3,1.09861228866811
28,"food","truthJudge","ate peanut butter","male",NA,"Greg","eats peanut butter",3,"month",145,"agree-key",180,5.19295685089021
28,"employment","truthJudge","volunteered for a political campaign","male",NA,"Gabriel","volunteers for political campaigns",3,"year",40,"agree-key",15,2.70805020110221
28,"entertainment","truthJudge","listened to live music","female",NA,"Elisa","listens to live music",3,"week",243,"disagree-key",780,6.65929391968364
29,"employment","truthJudge","stole a car","male",NA,"Jacob","steals cars",3,"month",4403,"agree-key",180,5.19295685089021
29,"food","truthJudge","did cocaine","female",NA,"Crystal","does cocaine",3,"week",6686,"agree-key",780,6.65929391968364
29,"clothing","truthJudge","wore a suit","male",NA,"Stephen","wears a suit",3,"6 months",2312,"agree-key",30,3.40119738166216
29,"clothing","truthJudge","wore slacks","male",NA,"Lucas","wears slacks",3,"month",2132,"agree-key",180,5.19295685089021
29,"clothing","truthJudge","wore a bra","female",NA,"Michelle","wears a bra",3,"week",1478,"agree-key",780,6.65929391968364
29,"food","truthJudge","smoked cigarettes","female",NA,"Julia","smokes cigarettes",3,"year",1919,"agree-key",15,2.70805020110221
29,"food","truthJudge","did cocaine","male",NA,"Michael","does cocaine",3,"week",3599,"agree-key",780,6.65929391968364
29,"clothing","truthJudge","wore socks","male",NA,"Lewis","wears socks",3,"week",2556,"agree-key",780,6.65929391968364
29,"food","truthJudge","drank coffee","male",NA,"Seth","drinks coffee",3,"2 weeks",6747,"agree-key",390,5.96614673912369
29,"employment","truthJudge","stole chewing gum","female",NA,"Jessica","steals chewing gum",3,"month",4087,"agree-key",180,5.19295685089021
29,"employment","truthJudge","wrote a novel","male",NA,"Fred","writes novels",3,"5 years",3724,"agree-key",3,1.09861228866811
29,"food","truthJudge","smoked marijuana","female",NA,"Stephanie","smokes marijuana",3,"year",2359,"agree-key",15,2.70805020110221
29,"hobby","truthJudge","ran","female",NA,"Sophia","runs",3,"2 months",1353,"agree-key",90,4.49980967033027
29,"food","truthJudge","drank beer","female",NA,"Theresa","drinks beer",3,"year",3977,"agree-key",15,2.70805020110221
29,"entertainment","truthJudge","listened to Pandora","male",NA,"Anthony","listens to Pandora",3,"year",1797,"agree-key",15,2.70805020110221
29,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Greg","volunteers for soup kitchens",3,"5 years",2698,"agree-key",3,1.09861228866811
29,"food","truthJudge","drank coffee","female",NA,"Ashley","drinks coffee",3,"2 weeks",1726,"agree-key",390,5.96614673912369
29,"clothing","truthJudge","wore a suit","female",NA,"Nicole","wears a suit",3,"month",1426,"agree-key",180,5.19295685089021
29,"entertainment","truthJudge","watched space launches","male",NA,"John","watches space launches",3,"year",1652,"agree-key",15,2.70805020110221
29,"entertainment","truthJudge","went to the movies","female",NA,"Bridgette","goes to the movies",3,"2 years",3092,"agree-key",7.5,2.01490302054226
29,"employment","truthJudge","volunteered for a political campaign","male",NA,"Lee","volunteers for political campaigns",3,"year",227,"agree-key",15,2.70805020110221
29,"hobby","truthJudge","hiked","female",NA,"Jennifer","hikes",3,"2 years",2333,"agree-key",7.5,2.01490302054226
29,"food","truthJudge","drank beer","male",NA,"Cameron","drinks beer",3,"2 weeks",1382,"agree-key",390,5.96614673912369
29,"employment","truthJudge","sold a company","female",NA,"Laura","sells companies",3,"year",1845,"agree-key",15,2.70805020110221
29,"entertainment","truthJudge","went to the ballet","female",NA,"Monica","goes to the ballet",3,"year",1830,"agree-key",15,2.70805020110221
29,"employment","truthJudge","wrote a poem","female",NA,"Kelly","writes poems",3,"year",1046,"agree-key",15,2.70805020110221
29,"employment","truthJudge","sold something on eBay","male",NA,"Jack","sells things on eBay",3,"5 years",2119,"agree-key",3,1.09861228866811
29,"clothing","truthJudge","wore socks","female",NA,"Brooke","wears socks",3,"month",1101,"agree-key",180,5.19295685089021
29,"food","truthJudge","ate peanut butter","female",NA,"Elizabeth","eats peanut butter",3,"month",1767,"agree-key",180,5.19295685089021
29,"hobby","truthJudge","played tennis","male",NA,"Tom","plays tennis",3,"5 years",12742,"agree-key",3,1.09861228866811
29,"entertainment","truthJudge","listened to live music","male",NA,"Daniel","listens to live music",3,"week",1896,"agree-key",780,6.65929391968364
29,"food","truthJudge","ate caviar","female",NA,"Claire","eats caviar",3,"month",1406,"agree-key",180,5.19295685089021
29,"hobby","truthJudge","climbed mountains","male",NA,"Stephen","climbs mountains",3,"5 years",7235,"agree-key",3,1.09861228866811
29,"clothing","truthJudge","wore a bra","male",NA,"Martin","wears a bra",3,"6 months",2593,"agree-key",30,3.40119738166216
29,"hobby","truthJudge","played the banjo","male",NA,"Tim","plays the banjo",3,"2 years",1659,"agree-key",7.5,2.01490302054226
29,"clothing","truthJudge","wore a watch","female",NA,"Alicia","wears a watch",3,"week",1655,"agree-key",780,6.65929391968364
29,"entertainment","truthJudge","watched professional football","male",NA,"Alexander","watches professional football",3,"year",1319,"agree-key",15,2.70805020110221
30,"entertainment","truthJudge","listened to live music","male",NA,"John","listens to live music",3,"month",5641,"agree-key",180,5.19295685089021
30,"employment","truthJudge","stole a car","male",NA,"Anthony","steals cars",3,"5 years",2652,"agree-key",3,1.09861228866811
30,"entertainment","truthJudge","watched space launches","female",NA,"Amber","watches space launches",3,"2 years",4051,"agree-key",7.5,2.01490302054226
30,"food","truthJudge","smoked marijuana","male",NA,"David","smokes marijuana",3,"5 years",2063,"disagree-key",3,1.09861228866811
30,"clothing","truthJudge","wore socks","female",NA,"Janet","wears socks",3,"week",1135,"disagree-key",780,6.65929391968364
30,"employment","truthJudge","wrote a novel","male",NA,"Alexander","writes novels",3,"year",2959,"agree-key",15,2.70805020110221
30,"clothing","truthJudge","wore a bra","male",NA,"Lucas","wears a bra",3,"week",1798,"disagree-key",780,6.65929391968364
30,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Melinda","volunteers for soup kitchens",3,"5 years",3154,"disagree-key",3,1.09861228866811
30,"entertainment","truthJudge","went to the movies","female",NA,"Tina","goes to the movies",3,"month",1801,"agree-key",180,5.19295685089021
30,"clothing","truthJudge","wore a suit","male",NA,"Ronald","wears a suit",3,"week",1625,"agree-key",780,6.65929391968364
30,"clothing","truthJudge","wore a watch","male",NA,"Michael","wears a watch",3,"week",2462,"agree-key",780,6.65929391968364
30,"clothing","truthJudge","wore a bra","female",NA,"Brooke","wears a bra",3,"week",3844,"agree-key",780,6.65929391968364
30,"entertainment","truthJudge","watched professional football","male",NA,"Jacob","watches professional football",3,"2 years",2019,"disagree-key",7.5,2.01490302054226
30,"hobby","truthJudge","played the banjo","male",NA,"Jack","plays the banjo",3,"year",1622,"disagree-key",15,2.70805020110221
30,"entertainment","truthJudge","went to the ballet","male",NA,"Ben","goes to the ballet",3,"month",2037,"agree-key",180,5.19295685089021
30,"hobby","truthJudge","ran","male",NA,"Tim","runs",3,"2 years",2160,"disagree-key",7.5,2.01490302054226
30,"employment","truthJudge","wrote a poem","male",NA,"George","writes poems",3,"year",2283,"disagree-key",15,2.70805020110221
30,"employment","truthJudge","stole chewing gum","male",NA,"Greg","steals chewing gum",3,"5 years",4446,"disagree-key",3,1.09861228866811
30,"clothing","truthJudge","wore socks","male",NA,"Christopher","wears socks",3,"6 months",2196,"disagree-key",30,3.40119738166216
30,"clothing","truthJudge","wore a suit","female",NA,"Alicia","wears a suit",3,"week",1878,"agree-key",780,6.65929391968364
30,"clothing","truthJudge","wore slacks","male",NA,"Martin","wears slacks",3,"6 months",1511,"disagree-key",30,3.40119738166216
30,"food","truthJudge","drank beer","male",NA,"Fred","drinks beer",3,"year",1326,"agree-key",15,2.70805020110221
30,"hobby","truthJudge","played tennis","male",NA,"Gabriel","plays tennis",3,"5 years",1640,"disagree-key",3,1.09861228866811
30,"food","truthJudge","smoked cigarettes","female",NA,"Natalie","smokes cigarettes",3,"year",2412,"disagree-key",15,2.70805020110221
30,"food","truthJudge","did cocaine","female",NA,"Ashley","does cocaine",3,"month",1676,"agree-key",180,5.19295685089021
30,"food","truthJudge","ate caviar","female",NA,"Claire","eats caviar",3,"5 years",2311,"disagree-key",3,1.09861228866811
30,"food","truthJudge","drank beer","female",NA,"Stephanie","drinks beer",3,"2 weeks",1997,"agree-key",390,5.96614673912369
30,"food","truthJudge","drank coffee","female",NA,"Rebecca","drinks coffee",3,"2 weeks",1286,"agree-key",390,5.96614673912369
30,"employment","truthJudge","sold something on eBay","male",NA,"Robert","sells things on eBay",3,"year",1386,"disagree-key",15,2.70805020110221
30,"hobby","truthJudge","climbed mountains","female",NA,"Elizabeth","climbs mountains",3,"5 years",1641,"disagree-key",3,1.09861228866811
30,"hobby","truthJudge","hiked","male",NA,"Seth","hikes",3,"2 years",1791,"agree-key",7.5,2.01490302054226
30,"entertainment","truthJudge","listened to Pandora","male",NA,"Eric","listens to Pandora",3,"year",3028,"disagree-key",15,2.70805020110221
30,"employment","truthJudge","sold a company","male",NA,"Scott","sells companies",3,"year",1402,"disagree-key",15,2.70805020110221
30,"food","truthJudge","drank coffee","male",NA,"Kyle","drinks coffee",3,"year",3145,"disagree-key",15,2.70805020110221
30,"food","truthJudge","ate peanut butter","female",NA,"Nicole","eats peanut butter",3,"month",1587,"agree-key",180,5.19295685089021
30,"employment","truthJudge","volunteered for a political campaign","male",NA,"Ted","volunteers for political campaigns",3,"5 years",1313,"disagree-key",3,1.09861228866811
30,"food","truthJudge","did cocaine","male",NA,"Lee","does cocaine",3,"month",2123,"agree-key",180,5.19295685089021
31,"clothing","truthJudge","wore a suit","male",NA,"Christopher","wears a suit",3,"month",7472,"agree-key",180,5.19295685089021
31,"food","truthJudge","ate peanut butter","female",NA,"Linda","eats peanut butter",3,"5 years",4612,"agree-key",3,1.09861228866811
31,"food","truthJudge","drank beer","male",NA,"Kyle","drinks beer",3,"year",3964,"agree-key",15,2.70805020110221
31,"clothing","truthJudge","wore a bra","male",NA,"George","wears a bra",3,"week",5636,"agree-key",780,6.65929391968364
31,"entertainment","truthJudge","listened to Pandora","female",NA,"Alicia","listens to Pandora",3,"year",3053,"agree-key",15,2.70805020110221
31,"employment","truthJudge","sold something on eBay","male",NA,"Robert","sells things on eBay",3,"year",3053,"agree-key",15,2.70805020110221
31,"entertainment","truthJudge","watched professional football","female",NA,"Jessica","watches professional football",3,"year",3805,"agree-key",15,2.70805020110221
31,"food","truthJudge","drank coffee","female",NA,"Amber","drinks coffee",3,"month",2734,"agree-key",180,5.19295685089021
31,"hobby","truthJudge","played the banjo","male",NA,"Doug","plays the banjo",3,"5 years",1789,"agree-key",3,1.09861228866811
31,"hobby","truthJudge","climbed mountains","male",NA,"Eric","climbs mountains",3,"year",2197,"agree-key",15,2.70805020110221
31,"food","truthJudge","did cocaine","female",NA,"Stephanie","does cocaine",3,"month",4509,"agree-key",180,5.19295685089021
31,"food","truthJudge","drank beer","female",NA,"Janet","drinks beer",3,"month",2557,"agree-key",180,5.19295685089021
31,"food","truthJudge","smoked marijuana","male",NA,"Fred","smokes marijuana",3,"year",1949,"agree-key",15,2.70805020110221
31,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Kelly","volunteers for soup kitchens",3,"5 years",7805,"agree-key",3,1.09861228866811
31,"clothing","truthJudge","wore a watch","male",NA,"David","wears a watch",3,"6 months",22277,"disagree-key",30,3.40119738166216
31,"employment","truthJudge","stole a car","female",NA,"Veronica","steals cars",3,"year",2972,"agree-key",15,2.70805020110221
31,"entertainment","truthJudge","went to the movies","male",NA,"Derrick","goes to the movies",3,"month",2156,"disagree-key",180,5.19295685089021
31,"hobby","truthJudge","ran","female",NA,"Julia","runs",3,"2 months",8708,"disagree-key",90,4.49980967033027
31,"hobby","truthJudge","played tennis","male",NA,"Lewis","plays tennis",3,"5 years",3564,"disagree-key",3,1.09861228866811
31,"entertainment","truthJudge","watched space launches","female",NA,"Natalie","watches space launches",3,"year",7349,"agree-key",15,2.70805020110221
31,"employment","truthJudge","stole chewing gum","male",NA,"Gabriel","steals chewing gum",3,"month",3949,"agree-key",180,5.19295685089021
31,"clothing","truthJudge","wore socks","female",NA,"Rebecca","wears socks",3,"week",3061,"agree-key",780,6.65929391968364
31,"clothing","truthJudge","wore a suit","female",NA,"Bridgette","wears a suit",3,"month",4773,"agree-key",180,5.19295685089021
31,"employment","truthJudge","volunteered for a political campaign","male",NA,"Daniel","volunteers for political campaigns",3,"year",3701,"agree-key",15,2.70805020110221
31,"food","truthJudge","smoked cigarettes","female",NA,"Elizabeth","smokes cigarettes",3,"week",2397,"agree-key",780,6.65929391968364
31,"food","truthJudge","ate caviar","female",NA,"Sophia","eats caviar",3,"month",5533,"agree-key",180,5.19295685089021
31,"employment","truthJudge","wrote a novel","male",NA,"Seth","writes novels",3,"year",4069,"agree-key",15,2.70805020110221
31,"employment","truthJudge","wrote a poem","male",NA,"Stephen","writes poems",3,"year",3301,"agree-key",15,2.70805020110221
31,"food","truthJudge","did cocaine","male",NA,"William","does cocaine",3,"year",2397,"agree-key",15,2.70805020110221
31,"clothing","truthJudge","wore socks","male",NA,"Brian","wears socks",3,"6 months",3989,"disagree-key",30,3.40119738166216
31,"entertainment","truthJudge","went to the ballet","female",NA,"Brooke","goes to the ballet",3,"2 years",8806,"agree-key",7.5,2.01490302054226
31,"food","truthJudge","drank coffee","male",NA,"Ronald","drinks coffee",3,"week",1477,"agree-key",780,6.65929391968364
31,"hobby","truthJudge","hiked","male",NA,"Anthony","hikes",3,"2 years",3724,"agree-key",7.5,2.01490302054226
31,"clothing","truthJudge","wore slacks","female",NA,"Michelle","wears slacks",3,"6 months",3044,"disagree-key",30,3.40119738166216
31,"clothing","truthJudge","wore a bra","female",NA,"Theresa","wears a bra",3,"month",4108,"agree-key",180,5.19295685089021
31,"entertainment","truthJudge","listened to live music","male",NA,"Tom","listens to live music",3,"week",2996,"agree-key",780,6.65929391968364
31,"employment","truthJudge","sold a company","female",NA,"Nicole","sells companies",3,"5 years",5109,"agree-key",3,1.09861228866811
32,"entertainment","truthJudge","listened to live music","female",NA,"Esther","listens to live music",3,"month",4447,"agree-key",180,5.19295685089021
32,"entertainment","truthJudge","watched space launches","female",NA,"Stephanie","watches space launches",3,"2 years",2890,"agree-key",7.5,2.01490302054226
32,"food","truthJudge","smoked cigarettes","female",NA,"Julia","smokes cigarettes",3,"week",2963,"agree-key",780,6.65929391968364
32,"employment","truthJudge","stole a car","female",NA,"Hillary","steals cars",3,"5 years",2341,"agree-key",3,1.09861228866811
32,"hobby","truthJudge","climbed mountains","female",NA,"Claire","climbs mountains",3,"5 years",2540,"agree-key",3,1.09861228866811
32,"employment","truthJudge","sold a company","male",NA,"Seth","sells companies",3,"year",1901,"agree-key",15,2.70805020110221
32,"clothing","truthJudge","wore a suit","female",NA,"Jennifer","wears a suit",3,"month",4003,"disagree-key",180,5.19295685089021
32,"employment","truthJudge","stole chewing gum","female",NA,"Angela","steals chewing gum",3,"5 years",3108,"agree-key",3,1.09861228866811
32,"food","truthJudge","did cocaine","male",NA,"Lewis","does cocaine",3,"5 years",181,"disagree-key",3,1.09861228866811
32,"food","truthJudge","drank beer","male",NA,"Brian","drinks beer",3,"2 weeks",2301,"agree-key",390,5.96614673912369
32,"employment","truthJudge","volunteered for a political campaign","male",NA,"Jacob","volunteers for political campaigns",3,"5 years",3520,"agree-key",3,1.09861228866811
32,"entertainment","truthJudge","listened to Pandora","female",NA,"Amber","listens to Pandora",3,"month",2805,"disagree-key",180,5.19295685089021
32,"entertainment","truthJudge","went to the ballet","female",NA,"Tina","goes to the ballet",3,"month",2732,"agree-key",180,5.19295685089021
32,"clothing","truthJudge","wore a suit","male",NA,"Tom","wears a suit",3,"month",1572,"disagree-key",180,5.19295685089021
32,"food","truthJudge","ate caviar","male",NA,"Michael","eats caviar",3,"month",1429,"agree-key",180,5.19295685089021
32,"clothing","truthJudge","wore socks","male",NA,"Alexander","wears socks",3,"week",4462,"agree-key",780,6.65929391968364
32,"hobby","truthJudge","ran","female",NA,"Bridgette","runs",3,"year",5565,"disagree-key",15,2.70805020110221
32,"clothing","truthJudge","wore slacks","male",NA,"Martin","wears slacks",3,"week",3583,"agree-key",780,6.65929391968364
32,"employment","truthJudge","wrote a poem","female",NA,"Brooke","writes poems",3,"year",4266,"disagree-key",15,2.70805020110221
32,"entertainment","truthJudge","went to the movies","female",NA,"Elisa","goes to the movies",3,"2 years",2349,"disagree-key",7.5,2.01490302054226
32,"employment","truthJudge","wrote a novel","male",NA,"Ted","writes novels",3,"year",1869,"agree-key",15,2.70805020110221
32,"clothing","truthJudge","wore a bra","female",NA,"Natalie","wears a bra",3,"month",2603,"disagree-key",180,5.19295685089021
32,"food","truthJudge","drank beer","female",NA,"Monica","drinks beer",3,"year",1759,"disagree-key",15,2.70805020110221
32,"food","truthJudge","smoked marijuana","female",NA,"Melinda","smokes marijuana",3,"year",4046,"disagree-key",15,2.70805020110221
32,"clothing","truthJudge","wore a watch","male",NA,"Daniel","wears a watch",3,"week",2413,"agree-key",780,6.65929391968364
32,"clothing","truthJudge","wore socks","female",NA,"Kim","wears socks",3,"week",1973,"agree-key",780,6.65929391968364
32,"entertainment","truthJudge","watched professional football","male",NA,"Stephen","watches professional football",3,"year",1788,"disagree-key",15,2.70805020110221
32,"employment","truthJudge","sold something on eBay","male",NA,"Jack","sells things on eBay",3,"year",2373,"disagree-key",15,2.70805020110221
32,"food","truthJudge","ate peanut butter","female",NA,"Kristina","eats peanut butter",3,"5 years",3205,"disagree-key",3,1.09861228866811
32,"food","truthJudge","drank coffee","female",NA,"Jackie","drinks coffee",3,"year",2044,"disagree-key",15,2.70805020110221
32,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Elizabeth","volunteers for soup kitchens",3,"5 years",2452,"disagree-key",3,1.09861228866811
32,"hobby","truthJudge","hiked","male",NA,"Christopher","hikes",3,"2 months",2838,"disagree-key",90,4.49980967033027
32,"hobby","truthJudge","played the banjo","female",NA,"Michelle","plays the banjo",3,"year",4837,"disagree-key",15,2.70805020110221
32,"hobby","truthJudge","played tennis","female",NA,"Ashley","plays tennis",3,"5 years",2125,"disagree-key",3,1.09861228866811
32,"food","truthJudge","did cocaine","female",NA,"Janet","does cocaine",3,"year",2395,"agree-key",15,2.70805020110221
32,"clothing","truthJudge","wore a bra","male",NA,"Ronald","wears a bra",3,"week",1822,"agree-key",780,6.65929391968364
32,"food","truthJudge","drank coffee","male",NA,"Doug","drinks coffee",3,"week",2462,"agree-key",780,6.65929391968364
33,"food","truthJudge","ate peanut butter","female",NA,"Kelly","eats peanut butter",3,"5 years",7152,"agree-key",3,1.09861228866811
33,"employment","truthJudge","stole a car","male",NA,"Eric","steals cars",3,"year",3569,"agree-key",15,2.70805020110221
33,"hobby","truthJudge","played the banjo","male",NA,"George","plays the banjo",3,"year",3692,"agree-key",15,2.70805020110221
33,"entertainment","truthJudge","watched professional football","male",NA,"Lee","watches professional football",3,"2 years",6581,"agree-key",7.5,2.01490302054226
33,"clothing","truthJudge","wore socks","male",NA,"Seth","wears socks",3,"month",1918,"agree-key",180,5.19295685089021
33,"employment","truthJudge","wrote a novel","female",NA,"Julia","writes novels",3,"5 years",3975,"agree-key",3,1.09861228866811
33,"clothing","truthJudge","wore slacks","female",NA,"Michelle","wears slacks",3,"week",2079,"agree-key",780,6.65929391968364
33,"clothing","truthJudge","wore a bra","female",NA,"Claire","wears a bra",3,"6 months",7351,"disagree-key",30,3.40119738166216
33,"food","truthJudge","drank beer","male",NA,"Josh","drinks beer",3,"year",3656,"agree-key",15,2.70805020110221
33,"clothing","truthJudge","wore a bra","male",NA,"Ben","wears a bra",3,"6 months",3209,"disagree-key",30,3.40119738166216
33,"hobby","truthJudge","ran","male",NA,"Cameron","runs",3,"2 years",4359,"disagree-key",7.5,2.01490302054226
33,"hobby","truthJudge","climbed mountains","female",NA,"Maya","climbs mountains",3,"5 years",2689,"agree-key",3,1.09861228866811
33,"food","truthJudge","drank coffee","male",NA,"Robert","drinks coffee",3,"2 weeks",3625,"agree-key",390,5.96614673912369
33,"employment","truthJudge","stole chewing gum","female",NA,"Jessica","steals chewing gum",3,"5 years",2373,"agree-key",3,1.09861228866811
33,"hobby","truthJudge","played tennis","female",NA,"Crystal","plays tennis",3,"5 years",2338,"disagree-key",3,1.09861228866811
33,"clothing","truthJudge","wore a watch","female",NA,"Ashley","wears a watch",3,"month",7082,"disagree-key",180,5.19295685089021
33,"clothing","truthJudge","wore a suit","male",NA,"Martin","wears a suit",3,"6 months",5131,"agree-key",30,3.40119738166216
33,"employment","truthJudge","volunteered for a political campaign","male",NA,"Fred","volunteers for political campaigns",3,"year",3228,"agree-key",15,2.70805020110221
33,"clothing","truthJudge","wore socks","female",NA,"Stephanie","wears socks",3,"month",3792,"disagree-key",180,5.19295685089021
33,"hobby","truthJudge","hiked","female",NA,"Kim","hikes",3,"2 years",2616,"agree-key",7.5,2.01490302054226
33,"entertainment","truthJudge","listened to live music","female",NA,"Angela","listens to live music",3,"year",4681,"agree-key",15,2.70805020110221
33,"entertainment","truthJudge","watched space launches","male",NA,"Vince","watches space launches",3,"year",3082,"agree-key",15,2.70805020110221
33,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Tom","volunteers for soup kitchens",3,"year",2406,"agree-key",15,2.70805020110221
33,"entertainment","truthJudge","listened to Pandora","male",NA,"Stephen","listens to Pandora",3,"month",2649,"agree-key",180,5.19295685089021
33,"food","truthJudge","smoked marijuana","female",NA,"Alicia","smokes marijuana",3,"month",1609,"agree-key",180,5.19295685089021
33,"food","truthJudge","ate caviar","female",NA,"Nicole","eats caviar",3,"5 years",3467,"agree-key",3,1.09861228866811
